MA-M-Spades	73	910	53	498363	5158616	5412372	5146535	220161	122266	8	16	64,02	NA	NA	NA	NA	NA	NA	NA	73	5158616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	184	3,57	NA	NA	NA	NA	498363	498363	NA	NA	NA	NA	1	1	NA	NA	NA	NA
MA-H-Velvet	138	189	132	191465	5126222	5136597	5122117	60955	37038	28	54	64,11	NA	NA	NA	NA	NA	NA	NA	138	5126222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	191465	191465	NA	NA	NA	NA	1	1	NA	NA	NA	NA
MA-M-Velvet	203	286	189	226629	5136825	5161555	5127654	47327	25959	35	71	64,07	NA	NA	NA	NA	NA	NA	NA	203	5136825	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	226629	226629	NA	NA	NA	NA	1	1	NA	NA	NA	NA
MA-H-Abyss	96	147	87	610290	5123560	5134453	5116313	119446	68977	15	29	64,1	4	4	0	0	4	302822	8	0	0	3	2	2	66194	196	109	657	3,93	2,19	82	27	620	12,1	99,529	1,019	NA	610150	119446	68977	111763	63561	115738	63561	15	29	16	31	15	31
MA-M-Abyss	149	328	131	245660	5116522	5149082	5104376	70424	39013	24	48	64,1	2	2	0	0	2	92402	2	0	0	5	2	4	78075	79	70	203	1,59	1,41	63	7	219	4,28	99,382	1,004	NA	245660	70424	39233	67488	35186	68549	36304	24	47	25	50	24	49
MA-H-Cabog	127	127	127	238341	5116091	5116091	5116091	81416	42966	21	43	64,1	7	7	0	0	7	612517	6	0	0	6	2	3	65602	428	292	427	8,55	5,83	287	5	36	0,7	99,345	1,004	NA	238341	81416	43785	78165	38766	78165	40137	21	42	23	47	23	46
MA-M-Cabog	856	857	856	40668	5116310	5116733	5116310	8655	4755	176	378	64,08	122	122	0	0	115	617425	5	5	38295	14	0	4	36751	203	36	103	4,15	0,74	34	2	0	0	96,629	1,03	NA	40668	8726	4858	8265	4459	8421	4537	173	370	182	395	179	386
MA-H-Mira	82	16036	59	338337	5151058	7760947	5136999	147272	109542	12	22	64,11	22	22	0	0	15	1331243	6	0	0	1	0	0	25	288	44	141	5,69	0,87	42	2	106	2,06	99,845	1,027	NA	313312	147272	109542	129075	88214	129075	88214	12	22	15	26	15	26
MA-M-Mira	532	2167	103	279306	5431987	5922392	5167879	89612	46469	15	36	64,09	1085	1085	0	0	456	2501821	18	2	7076	2	1	1	11929	226	38	83	4,47	0,75	37	1	165	3,04	99,879	1,075	NA	257874	114083	53780	69002	33655	74997	42986	13	30	23	50	20	42
MA-H-Msrca	63	66	57	375149	5144734	5146013	5140375	246830	110872	9	17	64,13	6	6	0	0	6	1062986	2	0	0	0	0	0	0	2511	330	509	49,65	6,53	326	4	0	0	99,799	1,018	NA	309535	246830	110872	187809	88132	187809	88132	9	17	10	19	10	19
MA-M-Msrca	325	326	316	104386	5418108	5418490	5411756	36211	18405	52	104	64,1	70	70	0	0	69	471137	2	1	11781	14	0	6	60407	146	83	126	2,92	1,66	81	2	0	0	98,833	1,068	NA	104372	38240	21939	35496	17197	37156	20043	48	91	53	109	49	94
MA-H-Sga	304	679	281	101254	5122631	5183701	5107561	28734	17153	55	110	64,11	3	3	0	0	3	114888	1	0	0	3	2	2	66157	55	75	176	1,1	1,5	71	4	0	0	99,314	1,005	NA	101254	28781	17379	27712	15475	27760	16215	54	108	57	116	56	113
MA-M-Sga	666	1230	612	59847	5232350	5380709	5193149	12890	7614	126	255	64,08	6	6	0	0	6	78397	1	5	38083	5	0	3	34625	73	21	175	1,45	0,42	16	5	0	0	99,532	1,023	NA	59847	13391	8099	12516	6950	12871	7675	120	240	130	265	124	248
MA-H-Soap	71	143	65	474277	5136175	5150322	5131712	148639	88169	11	22	64,09	8	8	0	0	7	1261153	16	1	5385	1	1	1	11899	86	63	372	1,71	1,25	51	12	0	0	99,653	1,022	NA	474277	148639	89212	147199	75472	147199	75472	11	21	12	24	12	24
MA-M-Soap	91	197	84	286460	5133667	5152802	5128622	131561	68567	14	29	64,09	5	5	0	0	5	771028	19	1	5385	1	1	1	11899	105	66	474	2,08	1,31	53	13	0	0	99,595	1,028	NA	261142	131561	68982	113272	63022	113272	63420	14	28	15	32	15	31
MA-H-Spades	74	99	60	627055	5132082	5139836	5122962	150258	94999	10	20	64,11	4	4	0	0	4	551561	5	0	0	1	1	1	54213	107	84	215	2,14	1,68	80	4	0	0	99,699	1,013	NA	627055	150258	107346	147871	80282	147871	80282	10	19	10	21	10	21
MA-M-Spades	73	910	53	498363	5158616	5412372	5146535	220161	122266	8	16	64,02	6	6	0	0	6	925594	4	20	16591	0	0	0	0	237	54	127	4,68	1,07	52	2	184	3,57	99,871	1,02	NA	498363	220161	122266	209894	89745	209894	95280	8	16	9	18	9	17
MA-H-Velvet	138	189	132	191465	5126222	5136597	5122117	60955	37038	28	54	64,11	4	4	0	0	4	215454	9	0	0	2	2	2	66112	152	46	237	3,05	0,92	40	6	0	0	99,603	1,019	NA	191465	61615	37549	58337	34078	60267	35836	27	53	29	57	28	56
MA-M-Velvet	203	286	189	226629	5136825	5161555	5127654	47327	25959	35	71	64,07	72	72	0	0	54	1569654	3	1	5482	7	2	2	41395	125	35	154	2,48	0,7	32	3	0	0	99,42	1,018	NA	130350	48155	26238	40129	20444	41485	20620	34	69	40	83	39	81
RS-H-Abyss	520	1557	464	66408	4542138	4633465	4501467	13523	8662	98	205	68,72	0	0	0	0	0	0	0	500	4287630	5	0	5	133184	8	3	3	7,06	2,65	3	0	8	0,18	99,281	1,07	93	19894	66408	55823	NA	NA	11249	8381	1	2	NA	NA	5	7
RS-M-Abyss	382	846	339	71578	4503182	4567617	4474301	22050	11736	67	137	68,77	0	0	0	0	0	0	0	372	4389183	1	0	0	39	9	3	3	7,91	2,64	3	0	0	0	99,71	1,001	99	25367	71578	66861	NA	NA	18316	15260	1	2	NA	NA	3	5
RS-H-Cabog	534	539	531	41321	4214745	4216057	4212622	12421	7179	111	222	68,94	0	0	0	0	0	0	0	510	4079297	4	0	0	20914	3	0	0	2,69	0	0	0	0	0	97,634	1,027	86	15696	40728	39333	NA	NA	6765	4723	2	3	NA	NA	5	11
RS-M-Cabog	146	148	145	127844	3952525	3952878	3952023	41794	22363	30	64	69,06	0	0	0	0	0	0	0	142	3887512	4	0	2	63273	0	0	0	0	0	0	0	210	5,31	1,094	1,393	0	705	127844	127844	NA	NA	NA	NA	1	1	NA	NA	NA	NA
RS-H-Mira	640	1581	446	110511	4494266	4725855	4355336	18568	9191	69	154	68,89	0	0	0	0	0	0	0	586	4364722	3	0	1	20019	10	4	4	9,3	3,72	4	0	241	5,36	94,178	1,019	63	5728	110511	110511	NA	NA	3043	1444	1	1	NA	NA	14	28
RS-M-Mira	731	885	528	67456	4609809	4662776	4462783	15792	8236	90	191	68,75	0	0	0	0	0	0	0	623	4425615	9	0	1	56274	18	3	3	16,02	2,67	3	0	119	2,58	98,417	1,138	44	5447	67456	64176	NA	NA	1491	1045	1	2	NA	NA	24	47
RS-H-Msrca	106	130	89	358962	4479673	4489204	4468382	176783	102004	10	18	68,87	0	0	0	0	0	0	0	97	3707912	7	0	0	656233	105	4	4	91,96	3,5	4	0	0	0	100	1,012	104	57658	358962	358962	NA	NA	57658	56694	1	1	NA	NA	1	2
